id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
438_220629_5mMatOOI_siriusfeaturelist_1847	C43H84O5	[M + Na]+	Fatty acids	0.9996869564056396	Glycerolipids	0.9942694902420044	Diacylglycerols	0.6564969420433044	Triradylcglycerols	0.8703746199607849			Triradylcglycerols	0.8703746199607849	Glycerolipids	0.9991173148155212	Lipids and lipid-like molecules	0.9994333386421204	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
176_220629_5mMatOOI_siriusfeaturelist_1952	C34H67NO	[M + H]+	Fatty acids	0.9671328067779541	Fatty amides	0.8403685688972473	N-acyl amines	0.5426661372184753	N-acyl amines	0.9814730286598206	N-acyl amines	0.9814730286598206	Fatty amides	0.9945713877677917	Fatty Acyls	0.9908308982849121	Lipids and lipid-like molecules	0.9966049194335938	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
439_220629_5mMatOOI_siriusfeaturelist_1859	C36H69NO2	[M + Na]+	Fatty acids	0.9632705450057983	Fatty amides	0.7729971408843994	N-acyl amines	0.27818378806114197	N-acyl amines	0.996357262134552	N-acyl amines	0.996357262134552	Fatty amides	0.996271014213562	Fatty Acyls	0.9944792985916138	Lipids and lipid-like molecules	0.9981448650360107	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
523_220629_5mMatOOI_siriusfeaturelist_1130	C30H54N4O8	[M + H]+	Polyketides	0.8354372382164001	Oligopeptides	0.7744055390357971	Cyclic peptides	0.2214462012052536	N-acyl-alpha amino acids and derivatives	0.723285436630249	Amino acids and derivatives	0.9920386075973511	Amino acids, peptides, and analogues	0.9937490224838257	Carboxylic acids and derivatives	0.9990467429161072	Organic acids and derivatives	0.999982476234436	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
177_220629_5mMatOOI_siriusfeaturelist_2207	C35H68O3	[M + Na]+	Fatty acids	0.7044240832328796	Triterpenoids	0.3850187361240387	Baccharane triterpenoids	0.37134069204330444	Prenol lipids	0.7484815716743469					Prenol lipids	0.7484815716743469	Lipids and lipid-like molecules	0.9714720845222473	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Primary alcohols; Organooxygen compounds; Secondary alcohols; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
440_220629_5mMatOOI_siriusfeaturelist_2285	C42H78N6O13	[M + H]+	Amino acids and Peptides	0.06845103204250336	Oligopeptides	0.14849460124969482	Macrolide lactones	0.11366857588291168	Amino acids and derivatives	0.967889130115509	Amino acids and derivatives	0.967889130115509	Amino acids, peptides, and analogues	0.9728841781616211	Carboxylic acids and derivatives	0.9658470749855042	Organic acids and derivatives	0.9948155283927917	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Amines; Secondary amines; Carboximidamides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
178_220629_5mMatOOI_siriusfeaturelist_554	C33H58O9	[M + Na]+	Polyketides	0.9310564398765564	Linear polyketides	0.9526883959770203	Open-chain polyketides	0.9839469194412231	Hydroxy bile acids, alcohols and derivatives	0.5027402639389038	Hydroxy bile acids, alcohols and derivatives	0.5027402639389038	Bile acids, alcohols and derivatives	0.4770187735557556	Steroids and steroid derivatives	0.15933723747730255	Lipids and lipid-like molecules	0.9681997895240784	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Polyols; Very long-chain fatty acids; 12-hydroxysteroids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
350_220629_5mMatOOI_siriusfeaturelist_1298	C27H51N9O6	[M - H4O2 + H]+	Amino acids and Peptides	0.8512539267539978	Oligopeptides	0.4855627417564392	Cyclic peptides	0.4243322014808655	Peptides	0.614338219165802	Peptides	0.614338219165802	Amino acids, peptides, and analogues	0.9826722145080566	Carboxylic acids and derivatives	0.9472569227218628	Organic acids and derivatives	0.989458441734314	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Alpha amino acid amides; Carboximidamides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
441_220629_5mMatOOI_siriusfeaturelist_259	C29H56N6O9	[M + Na]+	Amino acids and Peptides	0.8564016222953796	Oligopeptides	0.7309118509292603	Cyclic peptides	0.22623315453529358	Alpha amino acids and derivatives	0.9269059300422668	Amino acids and derivatives	0.9615128040313721	Amino acids, peptides, and analogues	0.9812197089195251	Carboxylic acids and derivatives	0.9980993866920471	Organic acids and derivatives	0.9997549653053284	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Acetohydroxamic acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
524_220629_5mMatOOI_siriusfeaturelist_902	C40H50O3	[M + H]+	Terpenoids	0.996935248374939	Carotenoids (C40)	0.994520366191864	Carotenoids (C40, β-β)	0.9619330167770386	Xanthophylls	0.6175757646560669	Carotenoids	0.5378627181053162	Tetraterpenoids	0.7162591218948364	Prenol lipids	0.996269941329956	Lipids and lipid-like molecules	0.9925786852836609	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Carotenoids; Xanthophylls; Tetraterpenoids; Secondary alcohols; Carbonyl compounds; Dihydrofurans; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities
442_220629_5mMatOOI_siriusfeaturelist_1932	C55H86O6	[M + Na]+	Terpenoids	0.754907488822937	Glycerolipids	0.6886541247367859	Triacylglycerols	0.30573537945747375	Triacylglycerols	0.6099486351013184	Triacylglycerols	0.6099486351013184	Triradylcglycerols	0.5204032063484192	Glycerolipids	0.947789192199707	Lipids and lipid-like molecules	0.9998384714126587	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
94_220629_5mMatOOI_siriusfeaturelist_1176	C33H53N5O6	[M - H4O2 + H]+	Terpenoids	0.39852845668792725	Steroids	0.4793531894683838	Open-chain polyketides	0.34462717175483704	Hydroxysteroids	0.7225512862205505			Hydroxysteroids	0.7225512862205505	Steroids and steroid derivatives	0.565578818321228	Lipids and lipid-like molecules	0.7034180760383606	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Hydroxysteroids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Diazinanes; Benzenoids; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
179_220629_5mMatOOI_siriusfeaturelist_430	C22H40O3	[M + K]+	Fatty acids	0.8404485583305359	Diterpenoids	0.33240339159965515	Prostaglandins	0.17314516007900238	Fatty Acyls	0.8396997451782227					Fatty Acyls	0.8396997451782227	Lipids and lipid-like molecules	0.9176936149597168	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
526_220629_5mMatOOI_siriusfeaturelist_1301	C36H75N	[M + H]+	Fatty acids	0.8091402053833008	Fatty acyls	0.41789188981056213	Hydrocarbons	0.6805904507637024	Amines	0.9734023213386536			Amines	0.9734023213386536	Organonitrogen compounds	0.9982033967971802	Organic nitrogen compounds	0.9888856410980225	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
443_220629_5mMatOOI_siriusfeaturelist_904	C26H44O2	[M + H]+	Terpenoids	0.991972804069519	Steroids	0.8840894103050232	Cholestane steroids	0.7471058964729309	3-hydroxysteroids	0.8098422288894653	3-hydroxysteroids	0.8098422288894653	Hydroxysteroids	0.7876096367835999	Steroids and steroid derivatives	0.9119129776954651	Lipids and lipid-like molecules	0.9855363965034485	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Primary alcohols; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; 3-hydroxysteroids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
180_220629_5mMatOOI_siriusfeaturelist_1446	C32H65NO3	[M + H]+	Fatty acids	0.99989914894104	Sphingolipids	0.9945273995399475	Ceramides	0.9988100528717041	Long-chain ceramides	0.5594175457954407	Long-chain ceramides	0.5594175457954407	Ceramides	0.9999955892562866	Sphingolipids	0.9998737573623657	Lipids and lipid-like molecules	0.994966447353363	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
351_220629_5mMatOOI_siriusfeaturelist_1783	C37H75NO4	[M + H]+	Fatty acids	0.9974825978279114	Sphingolipids	0.994875967502594	Ceramides	0.9974097609519958	Long-chain ceramides	0.5598508715629578	Long-chain ceramides	0.5598508715629578	Ceramides	0.9999499320983887	Sphingolipids	0.9980258941650391	Lipids and lipid-like molecules	0.9689356684684753	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
444_220629_5mMatOOI_siriusfeaturelist_1512	C44H83NO8	[M + Na]+	Fatty acids	0.9989625215530396	Sphingolipids	0.9826321601867676	Neutral glycosphingolipids	0.9924049973487854	Glycosphingolipids	0.8492041826248169			Glycosphingolipids	0.8492041826248169	Sphingolipids	0.8594788312911987	Lipids and lipid-like molecules	0.9994465708732605	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
262_220629_5mMatOOI_siriusfeaturelist_308	C42H56O5	[M + H]+	Terpenoids	0.9993723034858704	Carotenoids (C40)	0.9996466636657715	Carotenoids (C40, β-β)	0.9883384108543396	Triterpenoids	0.5927258729934692			Triterpenoids	0.5927258729934692	Prenol lipids	0.9995754361152649	Lipids and lipid-like molecules	0.9992043375968933	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Epoxides; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Enones; Triterpenoids; Secondary alcohols; Tertiary alcohols; Oxepanes; Carbonyl compounds; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
445_220629_5mMatOOI_siriusfeaturelist_736	C37H70NO8P	[M + H]+	Fatty acids	0.9893159866333008	Glycerophospholipids	0.9998863935470581	Glycerophosphoethanolamines	0.9438340067863464	Phosphatidylethanolamines	0.9396221041679382	Phosphatidylethanolamines	0.9396221041679382	Glycerophosphoethanolamines	0.97278892993927	Glycerophospholipids	0.9998102784156799	Lipids and lipid-like molecules	0.9993321299552917	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
181_220629_5mMatOOI_siriusfeaturelist_1503	C42H86O13	[M + Na]+	Terpenoids	0.11412122845649719	Polyprenols	0.013707296922802925	Polyprenol derivatives	0.08324427157640457	Alkyl glycosides	0.7718825936317444	Alkyl glycosides	0.7718825936317444	Fatty acyl glycosides	0.45151689648628235	Fatty Acyls	0.9013456106185913	Lipids and lipid-like molecules	0.9817392230033875	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty alcohols; Monosaccharides; Secondary alcohols; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
